1,"And yes I recognize the irony. The system I oppose of affords me the luxury of biting the hand that feeds"
2,"That's exactly why priviledged fucks like me should feel obliged to whine and kick and scream"
3,"till everyone has everything they need #propagandhi #resisting_tyrannical_government"
4,"The ones who love us best are the ones we'll lay to rest. And visit their graves on holidays, at best"
5,"The ones who love us least are the ones we'll die to please. If it's any consolation, I don't begin to understand it."
6,"And this"
7,"And that"
8,"One more"
9,"What about this one"

